college_code	course_college_code	course_dept	course_no	course_title	credit_hours	description	source_course_key	source_files
COBA	COBA	ACCT	312	Computerized Accounting	3	Introduction to ultilizing the computer in maintaining accounting records, making management decisions, and processing common business applications with primary emphasis on a general ledger package (QuickBooks and other Accounting software). Develops further skills in maintaining accounting records, provides in-depth exposure to accounts receivable/accounts payable, payroll and inventory modules.	ACCT312	cba_curriculum_2025.org
COBA	COBA	ACCT	401	Advanced Accounting I	3	This course examines various aspects of partnership formation and operation, dissolution and liquidation, installment sales consignments, home and branch accounting and various mergers and consolidations.	ACCT401	cba_curriculum_2025.org
COBA	COBA	ACCT	402	Advanced Accounting II	3	This course begins where acct401 level off. It covers investments carried by the cost and equity methods, foreign branch and subsidiaries, receivership accounting estates and trust and not-for-profit service organization.	ACCT402	cba_curriculum_2025.org
COBA	COBA	ACCT	403	Principles of Auditing I	3	The course examines the role of the independent and internal auditors, professional ethics, legal liabilities of the auditor, planning and audits application of accounting theory and principles of internal controls, evidential matters, statistical sampling and its working papers and examination of records.	ACCT403	cba_curriculum_2025.org
COBA	COBA	ACCT	404	Principles of Auditing II	3	Auditing II concentrates on the specific area of auditing such as cash, securities and other investments, receivables and payable, inventories and cost of sales, property, plant and equipment, prepaid expenses, deferred changes and intangible assets and owner equity. Student's internship with reputable auditing firm so as to gain practical insight into the field of auditing is highly recommended.	ACCT404	cba_curriculum_2025.org
COBA	COBA	ACCT	405	Accounting Systems and Controls	3	This course is primarily devoted to the basic concept of accounting system in operation within an organization. It is also designed to provide students with the methods or procedures that form the complete internal control system of an organization. Students will gain valuable knowledge in system compliance with policies and procedures as well as protecting organization assets and preparing timely reports.	ACCT405	cba_curriculum_2025.org
COBA	COBA	ACCT	407	Accounting Theory and Practice	3	The course, accounting theory and practice continues to expose the students to various issues in Accounting. It examines the various postulates and concepts underlying the generally accepted accounting principles (GAAP) and surveys current accounting literature.	ACCT407	cba_curriculum_2025.org
COBA	COBA	ACCT	410	Public Budgeting and Taxation	3	Public Budgeting and Taxation is an intensive study of the institutions, processes, politics and socio-economic impact of Governmental Budgeting, Public Taxation and Expenditures. The class explores historical and contemporary issues surrounding Governmental spending and taxation policies at the various levels of government. Legal provisions regarding governmental policies on taxation and public budgeting are discussed. The class also looks at the practical effect of public policies enacted in Government and their impact on present day fiscal challenges in Government.	ACCT410	cba_curriculum_2025.org
COBA	COBA	ACCT	411	Not-for-Profit Accounting	3	This course introduces the students to the not-for-profit accounting. Application of the theories for recording and reporting in non-corporate forms of organization as applied to government and NGOs.	ACCT411	cba_curriculum_2025.org
CAFS	CAFS	ACRS	104	Botany (for Agronomistes)	3	The course will introduce students to the basic fundamental principles, concepts and importance of plants in human life. Topics will include: reasons for studying botany; origin of cultivated plants; identity and classification of some selected plants; appreciate the morphological, anatomical structures of plant and their physiological functions.	ACRS104	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	202	Placeholder Entry for ACRS 202	0	Placeholder support entry for a referenced course code that currently has no course-description definition in the six college curriculum files. Fill with the canonical definition.	ACRS202	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	204	Plant Physiology	3	Students will learn about the importance of crop physiology in agriculture, role and significance of water, solution and colloidal systems, photosynthesis, Mineral nutrition, plant growth, growth analysis, Plant growth regulators, Photoperiodism and physiological effects on crop productivity.	ACRS204	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	208	Tropical Food Crop	3	This course provides students with a better appreciation of and competencies needed for a fundamental understanding of tropical cropping systems. Students gain fundamentals of major food crops in the tropics (the biology, the production, and the utilization), tropical environments and ecology, and tropical cropping systems. Cropping systems will highlight the context of agricultural development, focusing on current management practices, constraints to production, and food security, as well as holistic approaches to crop production and the role of technology.	ACRS208	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	301	Plant Entomology	3	Pests can reduce yield and quality dramatically in all crop production systems. Managing these pests requires an understanding of interactions of pests with crop production systems. Students will be exposed to the basic principles of pest management including identification of pests, recognizing relationships between pest damage, pest populations, and yield and quality loss assessments; fundamental concepts associated with the biology and development of pests; and development and implementation of approaches and techniques designed to suppress pests and their impact on crop production.	ACRS301	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	302	Basic Horticulture	3	Students will learn about the concepts of key field horticultural crops, especially vegetable, aromatic and fruit crops, including their associated production and pest management systems that impact yield and quality.	ACRS302	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	304	Tropical Tree Crops	3	Tropical tree crops courses cover the production, biology, and ecology of tropical crops, as well as the technologies and practices used to grow them. With this, students are exposed to the fundamental principles of production and management practices associated with the large-scale crops such as rubber, oil palm, cocoa, coffee, cereal, cane and other crops that are utilized through processed means.These courses may also include topics such as sustainability, climate change, and biodiversity conservation of tree crops.	ACRS304	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	306	Plant Breeding and Genetics	3	Students will learn the role of crop improvement through cultivar and hybrid development and methodologies designed to determine performance of promising plant material of major crops in Liberia. Students will be exposed to the fundamental genetic principles, techniques and issues associated with setting plant breeding goals in the context of agriculture in Liberia. Students will also be introduced to the importance of germplasm collection, maintenance and evaluation and the ways in which varieties and advanced genetic lines are comparatively evaluated for possible introduction and commercialization.	ACRS306	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	401	Weed Science and Management	3	Students will learn basic fundamental principles in integrated weed management including identification and classification of weeds, propagation and dissemination of weeds, fundamental concepts associated with the biology and ecology of weeds; implementation of approaches and techniques designed to avoid or suppress weeds and their impact on landscaping and crop production for maximum productivity.	ACRS401	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	402	Plant Pathology	3	This course will introduce students to the basic fundamental principles, concepts including identification of diseases. The content includes general concepts and classification of plant diseases; effect of environmental factors on disease development; Plant disease epidemiology; and integrated plant disease management.	ACRS402	cafs_curriculum_2024.org
CAFS	CAFS	ACRS	409	Farm Mechanization and Technology	3	This course will include characterization and adoption of mechanization and technology used in plant and animal production systems. Application of new approaches to tillage, seed bed preparation, cultivation, seeding, chemical application, grain harvesting, forage harvesting, farm processing, and materials handling. Economic performance of the total machine systems including machine performance, power performance and operation performance, as well as economic viability of mechanized systems in relation to management decisions for farm machinery and maintenance are important components of consideration.	ACRS409	cafs_curriculum_2024.org
CAFS	CAFS	AGBU	300	Agricultural Production and Management	3	Agricultural production management deals with how farmers combine land, water, commercial inputs, labor, and their management skills into practices and systems that produce food and fiber. The Agriculture Production and Management program prepares students to enter employment in production agriculture through farming and farm management. Technical education is provided in crop and livestock production, mechanical skills and farm business management. Areas of focus include soil and crop management, pest management, nutrient management, and water management; while also dealing with different types of farming systems, and factors that affect farmers' decisions of production.	AGBU300	cafs_curriculum_2024.org
CAFS	CAFS	AGBU	301	Value Chain Analysis in Agriculture	3	Value chains are a set of processes, activities and flows that are required to bring a product or service from conception, through the intermediary phases of production, delivery to final consumer, and disposal after use. Value chain analysis offers a comprehensive framework for evaluating and improving the various stages involved in the production and distribution of agricultural products. The profitability and functionality of the chain is essential. This course focuses on the importance of value chain analysis in agriculture, thus, examines the concept that encompasses all the activities and processes that add value to agricultural products, while also emphasizes on the significance of value chain optimization to enhance efficiency and competitiveness.	AGBU301	cafs_curriculum_2024.org
CAFS	CAFS	AGBU	302	Agricultural Marketing and Finance	3	Agricultural marketing and finance deals with basic principles of financing and marketing of products which may or may not necessarily be agricultural in nature. The course introduces the meaning and scope of agricultural finance, sources of finance/credit agencies, credit utilization, credit instruments and loan repayment methods. It also focuses on farm records and accounts, as it explains the importance of keeping farm records, itemizes principles of farm accounting and the preparation of financial statement. It also explains budgeting as a planning tool and identifies financial control/approaches to efficient credit management. This course further focuses on the meaning of marketing, types of market and roles of marketing in agricultural business; while it highlights the problems of agricultural marketing and agricultural demand pattern analysis, as well as agricultural supply analysis. With this, the Agricultural Marketing and Finance curriculum is designed to prepare students to work in the agricultural service industry. It provides a sound academic foundation with emphasis on business management, economics, information management, sales and marketing, precision agriculture, farm production, human relations, communication, and general education.	AGBU302	cafs_curriculum_2024.org
CAFS	CAFS	AGBU	401	Agricultural Financial Management and Implication	3	This course discusses the basic principles of management and decision-making as related to both farm and non-farm agribusiness; applies economic principles to case studies in farm and agribusiness; understand the major financial statements: what they report, how to interpret and use the data and how they are connected; know the alternatives to meeting needs when resource analysis indicates the labor input in a business needs altered. Includes review of resume, interviewing and other job application skills; identify the best combination of resources to use relative to the enterprises selected for the operation including; crop inputs, livestock inputs, machinery and equipment, and farmstead and buildings; as well as know the alternatives for farm record-keeping and analysis. Further, it discusses the implications and challenges faced in relation to financial managerial misconduct.	AGBU401	cafs_curriculum_2024.org
CAFS	CAFS	AGBU	402	Agricultural and Resource Enterprise Analysis	3	This course, Agricultural and Resource Enterprise Analysis, focuses on understanding financial records and analysis for any small business, as it is also one of the foundations for high-level courses in agricultural business program. This course explains the underlying principles of sound financial analysis and how to apply this understanding to real-world situations. This includes the ability to analyze past business performance as measured through coordinated financial statements, and to project future performance through budgeting techniques; the interpretation and use of financial records in business management, including developing and implementing records systems, generating and analyzing summary statements, and developing and using an array of budgeting and planning techniques for improved decision making are all essential tools captured in this course.	AGBU402	cafs_curriculum_2024.org
CAFS	CAFS	AGBU	404	Personnel Management in Agriculture	3	Managing human resources is a critical success factor in production agriculture. With farm sizes increasing, employment of hired labor and managers has also increased. The Personnel Management in Agriculture course examines agricultural human resource management practices to contribute to expand the knowledge base on those practices, compare them to and contrast them with practices in other industries, and improve practices in agriculture and reduce the risks involved thereof. It also explores the nature and specifics of human resources management in agribusiness enterprises, and presents the practice of the basic and most important HRM activities in agribusiness firms.	AGBU404	cafs_curriculum_2024.org
CAFS	CAFS	AGCA	323	Gender in Agriculture	3	The purpose of this course is to understand as well as clarify the roles women and men play in the different stages of agriculture as well as their access to productive resource. Though women play a vital role as agricultural producers and as agents of food and nutritional security, yet relative to men, they have less access to productive assets such as land and services such as finance and extension. A variety of constraints impinge upon their ability to participate in the collective action as members of agricultural cooperative or water user associations. The course also looks at roles change over time, with a view to understanding flexibility of gender role in our societies. Furthermore, the course will stress out factors that can influence gender roles and how these factors can be maneuvered in order to improve access to livelihood opportunities and bridge the gaps that exist between men and women in agriculture.	AGCA323	cafs_curriculum_2024.org
CAFS	CAFS	AGCA	331	Agroforestry and Gender Politics	3	The purpose of this course is to highlight the significance of gender concern and gender imbalances in Agroforestry. In particular, the course will focus on women's involvement in Agroforestry, highlighting their motivations and challenges, relative to men. The aim is to provide students, both male and female with the tools and skills that will assist them in decision-making process, accessing resources equitably and holding positions in the political and economic arena of agroforestry. A critical perspective will be placed on, a) how forested open space is defined, b) who controls the spaces (large scale vs. small scale; international vs. domestic ownership), c) what kinds of crops (export vs. domestic consumption) and non-crop (e.g. watershed management) uses are engaged; d) what is the cultural political economy of land ownership; e) can women own and manage forestry space; and f) can women borrow money to buy land or make improvements, among other topics.	AGCA331	cafs_curriculum_2024.org
CAFS	CAFS	AGCA	431	Gender and Society	3	The purpose of this course is to prepare students to critically analyze social and cultural practices from a gender perspective and learn how to apply this theoretical framework in different contexts. The course is aimed at improving the professional development of students through the application of gender studies to social concerns in agriculture, nutrition and rural development, as well as, in the diverse fields of social sciences, education, psychology, law and economics.	AGCA431	cafs_curriculum_2024.org
CAFS	CAFS	AGCA	432	Environmental Justice	3	A study of the emergence and development of environmental justice perspectives, analysis and legal processes in land use decision making. This will include interactions between human and the natural environment as well as inequality among different human groups as defined by race, class, and gender. Environmental racism; the environmental justice movement, land tenure system, contemporary ecofeminism, and environmental attitudes, class and gender disparities in health and environmental well-being will be addressed.	AGCA432	cafs_curriculum_2024.org
CAFS	CAFS	AGCA	433	Woman and Social Change	3	Analysis of the implication of social change for the status of women and an evaluation of the women's movement a force for social change will be major part of this course. A primary focus will be on the Liberian society but within the broader context of the West African region.	AGCA433	cafs_curriculum_2024.org
CAFS	CAFS	AGCA	434	Introduction to Social Work	3	...	AGCA434	cafs_curriculum_2024.org
CAFS	CAFS	AGEC	306	Macroeconomics (for Agronomists)	3	Macroeconomics (for Agronomists) is an advanced version on introduction to macroeconomics. It uses the tools of macroeconomics to study macroeconomics policy problems in-depth. The problems range from economic growth in the long-run, to government finances in the intermediate run, and economic stability in the short run.	AGEC306	cafs_curriculum_2024.org
CAFS	CAFS	AGEC	314	Production economics	3	Production economics is an applied field of science wherein the principles of choice are applied to the use of capital, labor and management of resources in the farming industry. It is a field of specialization with in the field of agricultural economics. It concerns with selection of production patterns and efficient use of resources in order to maximize the objective production of farming community or the nation with in a framework of limited resources.	AGEC314	cafs_curriculum_2024.org
CAFS	CAFS	AGEC	315	Microeconomics (for Agronomists)	3	This course is designed to extend the knowledge of students of basic microeconomics principles that will provide the foundation for their work in economics and give them the insight into how economic models can help them think about important real world phenomenon.	AGEC315	cafs_curriculum_2024.org
CAFS	CAFS	AGEC	323	Economic development and planning	3	An economic Development and planning is a carefully framework that is long term in scope. It is used to help communities in diverse situations. These situations include: a boom economy and a rapidly grown population; job creation and retention challenges; remaining economically competitive and sustainable in a volatile and dynamic global market; shifting from an over- dependence on resource industries etc.	AGEC323	cafs_curriculum_2024.org
CAFS	CAFS	AGEC	437	Labor Economics	3	This course is to introduce students to the economic analysis of the labor market; provide overview of the basic theoretical and empirical literature on employment, wages, working conditions and unemployment, which involves understanding are the determinants of the observed structure of wages and employment. This course will enable students to apply the tools of analysis to a wide range of models and policy relating to the functioning of labor markets. We focus on labor supply and demand, and various applications of human capital investment and education, wage differentials, discrimination, contracts and incentives. The goal is to develop good economic intuition for all its students through the various topics.	AGEC437	cafs_curriculum_2024.org
CAFS	CAFS	AGEC	468	Econometrics	3	This course deals with the application of statistical methods to economic data in order to give imperial content to economic relationships. More precisely, it is the “quantitative analysis of actual economic phenomena based on the present development of theories and observations related by appropriate methods of inference.	AGEC468	cafs_curriculum_2024.org
CAFS	CAFS	AGEE	321	Agricultural Extension Methods	3	This course uses a wide range of agricultural extension approaches for working with farmers and related groups in various communities. The course seeks to address many extension approaches to meeting the needs and demands of farmers and farmer groups, as well as related working groups in agricultural and related fields. The various working methods related to extension will be highlighted herein for the full comprehension of the students, so as to equip them with knowledge of extension working tools and methods for agriculture programs. Specifically the extension methods aims at teaching farmers about improved technologies so that they can increase agricultural production and productivity, thereby improving their living standard.	AGEE321	cafs_curriculum_2024.org
CAFS	CAFS	AGEE	323	Educational Psychology and Extension	3	This course focuses on theories of learning, development and motivation applied to Agricultural Extension and Outreach. It examines theories that explain how the clientele in agriculture adopts new technologies, considering the social, moral, and emotional dimensions. It highlights case studies of socio-economic impact of successes and failures in agricultural extension. The course also explores methods of identifying how the clientele in agriculture develops and learns; how one clientele is different from every other clientele; and how the theory and practice of extension and outreach come together to inform the delivery of sound agricultural extension and outreach programs. Key subjects: Concepts of psychology; personality development; concept of intelligence; concept of measurement in psychology; extension teaching and learning and motivation; classification and description of extension methods. Agricultural clientele psychology, extension agent-clientele relations, socio-economic barriers to agricultural technology transfer will be included.	AGEE323	cafs_curriculum_2024.org
CAFS	CAFS	AGEE	324	Gender and Agricultural Extension	3	The objective of this course is to introduce gender concepts in agricultural extension and to stress the importance of developing gender sensitive extension and outreach services for sustainable agricultural development for Liberia and in Africa. Gender focused extension and outreach options at urban, peri-urban and rural settings are treated in the course. The course highlights the benefits of increased agricultural extension and outreach for women farmers in agriculture as ways of improving agricultural decision-making and output, marketing competencies, post-harvest technologies, communications at the community level, and household based food and nutrition security. The course will introduce concepts of diversity and justice including gender perspective with regards to balancing attention to production for markets and production for household and community food and nutrition security.	AGEE324	cafs_curriculum_2024.org
CAFS	CAFS	AGEE	411	Public Policy and Agricultural Extension	3	This is senior level course which purpose is to clarify to the student the relationship between public policy and agricultural development and the role of agricultural extension. It discusses government policies that directly or indirectly impact agricultural development in Liberia. Public policy on urban, peri-urban and rural development in relation to agricultural practices will be discussed. The challenges of development in Liberia and how a good agricultural extension program may minimize such challenges are considered. Strategic options for implementing effective agricultural extension methods in a given public policy scenario are explored. Students also debate how to influence public policy for the advancement of effective agricultural extension services in Liberia. Key subjects: Public Policy, Agricultural Development, Cooperative Extension.	AGEE411	cafs_curriculum_2024.org
CAFS	CAFS	AGEE	413	Leadership Impact in Agricultural Extension	3	This is a senior level course which focuses on the impact of strong leadership in successful cooperative agricultural extension. It teaches the student the basic principles of effective leadership in cooperative extension, the relationship between leadership qualities and success in agricultural development at individual, group and community levels. The student is taught how to identify, evaluate and train leaders for agricultural development at the community level; it distinguishes between professional/technical and local leaders, explains the patron-client relationships and value systems. It discusses the principles and procedures for community organizations and types of organizations that advance agricultural development at the community level. As tools for strong leadership, the course teaches the student elements of the planning process, principles and concepts of program planning; steps in planning; concept of monitoring and evaluation; and evaluation approaches. As additional tools for strong leadership qualities, the course also teaches the concept, theories, principles and guidelines of administration; organization and supervision of agricultural extension services in Liberia; staff recruitment, selection, placement and supervision; and assessment of extension work accomplishments. Key subjects: Leadership Qualities, Organizational Ability, Community Knowledge, Effective Planning, Administration.	AGEE413	cafs_curriculum_2024.org
CAFS	CAFS	AGEE	422	Field Experimentation and Supervision	3	The objective of this course is to introduce students to field work and the process of management as head in terms of supervisor and supervision management; how field processes are conducted through various experimental processes and the governing body as the role performers of managerial control and advice.	AGEE422	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	106	Introduction to Agriculture	3	The objective of this course is to introduce students to the significance of Agriculture to the economic transformation on national economy. The content will include: Agriculture Importance and scope; Branches of agriculture; Evolution of man and agriculture; Stages of agriculture development in the world; Agro meteorology; Agro-climatic zones of Liberia; Crops and major soils - Classification economic and agricultural importance; Factors affecting crop production; Concepts of tillage and field preparation; Seeds, Role of manures and fertilizers in crop production and Cropping system.	AGRI106	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	203	Introduction to Animal Science	3	This course provides the basic fundamental information in animal science; the introduction to animal science program, the various types and groups of animals in Liberia, Africa and the world; the importance and role of animal to the environment and to life in general.	AGRI203	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	204	Agricultural Economics I	3	This course focuses on the overall performance of the economy and the way various sectors of the economy relate to each other in relation to agriculture. It analyzes those major issues relating to unemployment, gross domestic and national products, inflation, economic growth and development as they relate to agricultural productivity.	AGRI204	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	206	Agricultural Chemistry	4	This course takes a review of basic Chemistry; solution and soil units; acids and bases; redox reactions and enthalpy change; chemical equilibrium; chemical kinetics and thermodynamics; nuclear chemistry and colloidal chemistry; complexes and organo-metallic (mineral matter) reactions.	AGRI206	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	207	Introductory Food Production Management	3	The Introductory Food Production Management course provides knowledge and skills for students aiming at managing different aspects of agri-food chains. Students acquire the innovative principles and techniques of agricultural production, from the fields to the table, producing safe, sustainable, and high-quality food for consumers. The course covers the processes and management of the supply chains of livestock, viticulture, cereals, and horticultural produce, ensuring high-quality product value chains.	AGRI207	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	210	Population Food Security and Sustainable Development	3	This course examines the link of the components of sustainable development (social, economic and environment sustainability) with food security. The components of food security, supply, availability as well as access and utilization of food with the role of gender equality and agricultural productivity will is emphasized. Linkage between health, hygiene, education and nutrition in Liberian society are important topics in the course. The role of economic development and food production systems in sustainable development is also essential in the context of climate change and the broader scope of international assistance and regional development.	AGRI210	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	211	Practicum I	1	This course is designed for a hands-on practical experience that enhance the students' capacity and capability to appreciate the various disciplines in the field of agriculture.	AGRI211	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	301	Agricultural Marketing	3	The course is designed to cover aspects of agricultural marketing. Students will be exposed to background definitions of trade and marketing to enhance the understanding and scope of initiating and administering agricultural marketing programs as these relate to the livelihood of farmers. The course further covers the historical background of agricultural marketing, the various approaches to, and facilitation of agricultural marketing, the institutional applications and the factors that influence agricultural marketing.	AGRI301	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	303	Agricultural Economics II	3	This course focuses on the overall performance of the economy and the way various sectors of the economy relate to each other in relation to agriculture. It approaches advanced methods of major issues relating to unemployment, gross domestic and national products, inflation, economic growth and development as they relate to agricultural productivity; as a second part of the course -- agri204.	AGRI303	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	305	Introduction to Forestry	3	The course introduces the science and practices of managing the natural resources that occur on and in association with forest lands for human benefits. These involve managing trees, wildlife, water system and aquatic life. It also involves the principle of conservation of the forest biodiversity which have diverse benefits in many ways.	AGRI305	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	306	Agricultural Statistics and Experimental Design	3	Students will understand the basic process of research including establishing field experiments with appropriate controls and replication, recording appropriate data, analyzing data, and making appropriate conclusions from the research project. Students will also be exposed to the importance of written and oral communication of the results from research. This course will serve as a foundation for the student project.	AGRI306	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	307	Agricultural Extension	3	This course uses a wide range of agricultural extension approaches for working with farmers and related groups in various communities. The course seeks to address many extension approaches to meeting the needs and demands of farmers and farmer groups, as well as related working groups in agricultural and related fields. The various working methods related to extension will be highlighted herein for the full comprehension of the students, so as to equip them with knowledge of extension working tools and methods for agriculture programs. Specifically the extension methods aims at teaching farmers about improved technologies so that they can increase agricultural production and productivity, thereby improving their living standard.	AGRI307	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	308	Agriculture and Climate Change	3	The course focuses on the direct impact of climatic change on the development of sustainable agricultural farming. West Africa is one of the areas of primary study. Concentration is also placed on situation in Liberia agricultural setting and program.	AGRI308	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	310	AGRI 310	3	With assistance from an appropriate advisor/mentor, students will develop a research hypothesis and prepare a plan of action to test the hypothesis. Each student will prepare a proposal based on appropriate justification and experimental procedures. Students will implement the project during this time. The goal of this course is to help students develop critical thinking skills and to provide experience in having a student work through developing a concept to a full proposal. The student farm will be an essential component of this course along with the companion course agri426.	AGRI310	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	311	Practicum II	1	The course is designed to expose students of Agriculture College into field practical exercises, with knowledge from classroom to field practical activities, planting, field layout, designs, block and plot designs and construction. It builds on its first part, practicum I.	AGRI311	cafs_curriculum_2024.org
CAFS	CAFS	AGRI	401	Agricultural Research Methods	3	This course presents and explains the importance of conducting research in the light of current research issues in agriculture identifies and use appropriate research and statistical methods and research designs that shall guide the collection and observation of data; analyze data using appropriate tools; prepare/write research proposals, scientific or technical reports in agriculture; and present the same following an appropriate format for presentation in scientific meetings.	AGRI401	cafs_curriculum_2024.org
